year,Total,TropFor,TempFor,MedFor,TundraMts,TropGrass,TempGrass,Deserts,Hotspot,IndigenousLand
1992,102.2780576,17.03084938,23.92324006,1.60674612,12.85498046,15.98105564,5.12169531,25.75949064,13.11594083,35.66810967
1993,102.2593018,17.01787786,23.92025377,1.60620549,12.8548676,15.97995827,5.12122596,25.75891284,13.11314034,35.66749246
1994,102.2539835,17.01741301,23.91726721,1.60567215,12.85474493,15.97975964,5.12078046,25.75834611,13.11215619,35.66736724
1995,102.1180724,16.93812184,23.91030895,1.6019736,12.8529182,15.95070557,5.11012896,25.75391523,13.07248685,35.65480279
1996,102.0677072,16.9148122,23.91149902,1.60166553,12.85141538,15.93808181,5.09978958,25.75044366,13.06834604,35.64860674
1997,101.9818024,16.88151661,23.90403802,1.60087047,12.84980555,15.9189785,5.08074576,25.74584745,13.05283271,35.63926798
1998,101.8656915,16.83249523,23.88682759,1.59963342,12.84725495,15.89317685,5.06561829,25.74068514,13.02552167,35.6254114
1999,101.6526606,16.75525606,23.86110622,1.59666522,12.84295592,15.85026773,5.02112436,25.72528506,12.98634398,35.6064503
2000,101.495271,16.73804131,23.84110678,1.59735516,12.84211829,15.82735652,4.9362621,25.71303084,12.98258815,35.59148006
2001,101.4241169,16.71851878,23.83449187,1.59595341,12.8451863,15.81002495,4.91515863,25.70478297,12.97749986,35.58555707
2002,101.3655288,16.70365294,23.82550042,1.59534303,12.84592277,15.79743944,4.89991704,25.69775316,12.97225943,35.58028968
2003,101.3272614,16.68974893,23.82518713,1.59441558,12.84719672,15.78555143,4.8908184,25.69434324,12.96999673,35.57635853
2004,101.1905833,16.59079276,23.8211167,1.58971623,12.84752,15.77660192,4.87790466,25.68693102,12.9631411,35.56178118
2005,101.1670663,16.58337532,23.81879938,1.58925903,12.84756725,15.77018195,4.87525848,25.68262488,12.96073823,35.5581813
2006,101.1540914,16.57681117,23.82178765,1.58980776,12.84732443,15.76643768,4.87282875,25.679094,12.9587369,35.55519738
2007,101.1402546,16.57271788,23.82659077,1.58996949,12.84813146,15.75993869,4.86817521,25.67473107,12.9599471,35.54905174
2008,101.1309446,16.56856645,23.83268341,1.59290367,12.84816107,15.75546542,4.86351582,25.66964877,12.96565667,35.54257248
2009,101.1047974,16.56732175,23.83274776,1.59117216,12.84759551,15.74698049,4.85324241,25.66573728,12.97107585,35.53709416
2010,101.0545245,16.55699902,23.8213903,1.59018081,12.84685058,15.74122139,4.83807804,25.65980439,12.96477784,35.53127936
2011,101.0280778,16.54857412,23.81299177,1.58925687,12.84688604,15.73576145,4.83647001,25.6581375,12.95959677,35.52605644
2012,100.9981535,16.53884638,23.80329247,1.58770725,12.84653846,15.73179308,4.83393687,25.65603897,12.95355545,35.52177599
2013,100.9835693,16.53491968,23.79873955,1.5880551,12.84714065,15.73009811,4.83070569,25.65391056,12.95183465,35.5193938
2014,100.972734,16.53487225,23.79751654,1.58787519,12.84694301,15.72975692,4.82524152,25.65052854,12.95320618,35.51607979
2015,100.9674906,16.5344488,23.79477001,1.58751546,12.84670541,15.72943283,4.82478342,25.64983464,12.95234927,35.51564968