year,RMTI_1956
1956,3.998
1957,3.99
1958,3.983
1959,3.97
1960,3.949
1961,3.921
1962,3.89
1963,3.861
1964,3.829
1965,3.808
1966,3.79
1967,3.773
1968,3.755
1969,3.751
1970,3.733
1971,3.725
1972,3.736
1973,3.755
1974,3.761
1975,3.777
1976,3.784
1977,3.778
1978,3.762
1979,3.754
1980,3.748
1981,3.744
1982,3.732
1983,3.73
1984,3.722
1985,3.712
1986,3.684
1987,3.657
1988,3.631
1989,3.607
1990,3.594
1991,3.584
1992,3.579
1993,3.58
1994,3.576
1995,3.562
1996,3.545
1997,3.532
1998,3.523
1999,3.52
2000,3.524
2001,3.534
2002,3.547
2003,3.547
2004,3.546
2005,3.544
2006,3.545
2007,3.543
2008,3.551
2009,3.562
2010,3.573
2011,3.576
2012,3.577
2013,3.571
2014,3.561