Year,PercentLiveCoralCover
1972,40.557
1973,29.57288889
1974,52.026
1978,14.032
1979,29.28409091
1981,28.98
1982,17.83833333
1983,32.50344444
1984,22.7385
1985,18.715
1986,41.0695
1987,18.1405
1988,38.47033333
1989,29.54466667
1990,40.5685
1991,41.2475
1992,28.1223913
1993,33.253875
1994,36.64883333
1995,34.00854357
1996,30.595064
1997,30.60800473
1998,30.79285074
1999,27.26749881
2000,28.27490839
2001,22.29135499
2002,23.98957001
2003,28.65116403
2004,25.78435212
2005,26.44993525
2006,21.50739503
2007,22.12459154
2008,28.55834792
2009,27.03965642
2010,27.10886212
2011,28.91630326
2012,31.78207692
2013,24.33637143
2014,47.77828571
2015,18.48
2016,33.137